patent_id,title,filing_date,year,inventor_name,inventor_country,company_name
4732727,Method and apparatus for producing mesh film,9186-04-03,9186,Carl B. Havens,US,
4732727,Method and apparatus for producing mesh film,9186-04-03,9186,,,THE DOW CHEMICAL COMPANY
4474874,Color photographic light-sensitive material,9183-03-11,9183,Kei Sakanoue,JP,
4474874,Color photographic light-sensitive material,9183-03-11,9183,Keiichi Adachi,JP,
4474874,Color photographic light-sensitive material,9183-03-11,9183,Shigeo Hirano,JP,
4474874,Color photographic light-sensitive material,9183-03-11,9183,,,Fujitsu Limited
4255928,Swingable rain cover for vertical exhaust pipes with stop means,9178-12-11,9178,W. Richard Jones,US,
4255928,Swingable rain cover for vertical exhaust pipes with stop means,9178-12-11,9178,Earl Conrad,US,
4255928,Swingable rain cover for vertical exhaust pipes with stop means,9178-12-11,9178,Harry J. Kraig,US,
4255928,Swingable rain cover for vertical exhaust pipes with stop means,9178-12-11,9178,Albert Hartman,US,
4255928,Swingable rain cover for vertical exhaust pipes with stop means,9178-12-11,9178,,,"Mercury Metal Products, Inc."
4135654,Rucksack frame,9177-04-11,9177,Cheuk S. Chu,CN,
4135654,Rucksack frame,9177-04-11,9177,,,Yip Hing Camping Goods Manufactury Limited
4041523,A controllable semiconductor component having massive heat dissipating conically shaped metal bodies,9176-06-01,9176,Herbert Vogt,DE,
4041523,A controllable semiconductor component having massive heat dissipating conically shaped metal bodies,9176-06-01,9176,,,Siemens Aktiengesellschaft
3969699,Image dissector with many apertures for Hadamard encoding,9175-04-11,9175,Laurence D. McGlaughlin,US,
3969699,Image dissector with many apertures for Hadamard encoding,9175-04-11,9175,,,Honeywell Limited
4010353,Electronic voting machine with cathode ray tube display,9174-09-11,9174,"Benedict Stewart Snyder,III",US,
4010353,Electronic voting machine with cathode ray tube display,9174-09-11,9174,Charles Jerome Lindros,US,
4010353,Electronic voting machine with cathode ray tube display,9174-09-11,9174,Robert D. Wescott,US,
4010353,Electronic voting machine with cathode ray tube display,9174-09-11,9174,Richard J. Cusimano,US,
4010353,Electronic voting machine with cathode ray tube display,9174-09-11,9174,Michael Kristan,US,
4010353,Electronic voting machine with cathode ray tube display,9174-09-11,9174,"Michael Terrance Moldovan, Jr.",US,
4010353,Electronic voting machine with cathode ray tube display,9174-09-11,9174,,,"AVM, Inc."
3964954,Method of bonding utilizing imide ester derivatives of ethene maleic anhydride copolymers,9173-05-31,9173,Abraham Morduchowitz,US,
3964954,Method of bonding utilizing imide ester derivatives of ethene maleic anhydride copolymers,9173-05-31,9173,,,Texaco Inc.
4032532,"1-Aminoalkylene-3-cyano-4-methyl-6-hydroxy-1,2-dihydropyrid-2-ones",9173-03-01,9173,Roland Entschel,CH,
4032532,"1-Aminoalkylene-3-cyano-4-methyl-6-hydroxy-1,2-dihydropyrid-2-ones",9173-03-01,9173,Hermann Burkhard,CH,
4032532,"1-Aminoalkylene-3-cyano-4-methyl-6-hydroxy-1,2-dihydropyrid-2-ones",9173-03-01,9173,Willy Steinemann,CH,
4032532,"1-Aminoalkylene-3-cyano-4-methyl-6-hydroxy-1,2-dihydropyrid-2-ones",9173-03-01,9173,,,Sandoz AG
4469216,Multiple funnel flake aligner for making a loosely felted mat of aligned wood flakes,8198-04-05,8198,Bruce A. Haataja,US,
4469216,Multiple funnel flake aligner for making a loosely felted mat of aligned wood flakes,8198-04-05,8198,Tauno B. Kilpela,US,
4469216,Multiple funnel flake aligner for making a loosely felted mat of aligned wood flakes,8198-04-05,8198,Roy D. Adams,US,
4469216,Multiple funnel flake aligner for making a loosely felted mat of aligned wood flakes,8198-04-05,8198,Gordon P. Krueger,US,
4469216,Multiple funnel flake aligner for making a loosely felted mat of aligned wood flakes,8198-04-05,8198,,,Board of Control of Michigan Technological University
4198308,Manufacture of free-flowing fabric softening detergent,7978-07-21,7978,Giovanni Micciche,IT,
4198308,Manufacture of free-flowing fabric softening detergent,7978-07-21,7978,,,Colgate-Palmolive Company
4739365,Developing unit for an electro-photographic apparatus,2987-05-28,2987,Toshio Hino,JP,
4739365,Developing unit for an electro-photographic apparatus,2987-05-28,2987,,,Fujitsu Limited
4725260,Belt tensioner with spring actuated band brake damping,2987-03-24,2987,Jacek S. Komorowski,CA,
4725260,Belt tensioner with spring actuated band brake damping,2987-03-24,2987,Klaus K. Bytzek,CA,
4725260,Belt tensioner with spring actuated band brake damping,2987-03-24,2987,,,LITENS AUTOMOTIVE PARTNERSHIP
4709214,Integrated Hall element and amplifier with controlled offset voltage,2986-04-28,2986,Jacob K. Higgs,US,
4709214,Integrated Hall element and amplifier with controlled offset voltage,2986-04-28,2986,,,Sprague Electric Company
4596904,Test apparatus for telephone lines,2984-05-25,2984,Frank Messenger,US,
4596904,Test apparatus for telephone lines,2984-05-25,2984,,,"John F. McCarthy, Inc."
4542062,Magnetic recording medium,2982-01-20,2982,Seitoku Saito,JP,
4542062,Magnetic recording medium,2982-01-20,2982,Kazuo Takada,JP,
4542062,Magnetic recording medium,2982-01-20,2982,,,TDK Electronics AG
D245522,Insect repellant and disinfectant pendant for domestic animals,2976-07-29,2976,Dennis A. Mulkey,US,
D245522,Insect repellant and disinfectant pendant for domestic animals,2976-07-29,2976,Robert E. Hatcher,US,
4020425,Digital settable frequency generator with phase-locking loop,2976-03-26,2976,Gunther Hoffmann,DE,
4020425,Digital settable frequency generator with phase-locking loop,2976-03-26,2976,Peter Harzer,DE,
4020425,Digital settable frequency generator with phase-locking loop,2976-03-26,2976,,,Wandel u. Goltermann KG
3943504,Electric motor direction indicating device,2975-02-25,2975,Jan Vosicky,US,
3943504,Electric motor direction indicating device,2975-02-25,2975,,,Westinghouse Electric Company LLC
12507844,Magnetic coupling system for a removable toilet seat lid,2025-10-02,2025,David Seigler,US,
D1107786,Sunglasses,2025-09-30,2025,Carolyn Marie Brown,US,
D1107786,Sunglasses,2025-09-30,2025,Edward I. Mishan,US,
D1107786,Sunglasses,2025-09-30,2025,,,"E. Mishan & Sons, Inc."
D1107977,Headlamp,2025-09-23,2025,Lukas Yates,US,
D1107977,Headlamp,2025-09-23,2025,Luis Jimenez Carrillo,US,
D1107977,Headlamp,2025-09-23,2025,,,Volvo Truck Corporation
12504184,Ventilation rooftop air-conditioning system,2025-09-22,2025,Xiaoyue Zhou,US,
12504184,Ventilation rooftop air-conditioning system,2025-09-22,2025,,,velit cooling & heating. LLC
12490408,Liquid-cooling cooler,2025-09-19,2025,Dasheng Zhang,CN,
12490408,Liquid-cooling cooler,2025-09-19,2025,Shuigen Chen,CN,
12490408,Liquid-cooling cooler,2025-09-19,2025,Guolong Li,CN,
12490408,Liquid-cooling cooler,2025-09-19,2025,,,"Shenzhen Simps Technologies Co., Ltd."
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,Aseel Alshammari,SA,
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,Abdul Aziz Afzal,SA,
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,Faramarz Djavanroodi,SA,
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,Raghad Hanbazazah,SA,
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,Hatan Alessa,SA,
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,Munirah Alhamed,SA,
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,Elaf Suwaid,SA,
12510516,Modular pipe inspection robot and method for inspecting an external surface of a pipe,2025-09-17,2025,,,PRINCE MOHAMMAD BIN FAHD UNIVERSITY
12507761,Goodyear welt footwear and methods for making the same,2025-09-10,2025,Goh Yan Shyang,MY,
12507761,Goodyear welt footwear and methods for making the same,2025-09-10,2025,Jack S. Kishk,US,
12507761,Goodyear welt footwear and methods for making the same,2025-09-10,2025,,,"American Sole, LLC"
12497618,Composition for regulating production of interfering ribonucleic acid,2025-09-09,2025,Bradley G. Thompson,CA,
12497618,Composition for regulating production of interfering ribonucleic acid,2025-09-09,2025,,,Wyvern Pharmaceuticals Inc.
PP37117,Allium plant named ‘All the Buzz’,2025-09-09,2025,Hans A Hansen,US,
PP37117,Allium plant named ‘All the Buzz’,2025-09-09,2025,,,"Walters Gardens, Inc."
PP37187,Epimedium plant named ‘Jester's Hat’,2025-09-09,2025,Hans A Hansen,US,
PP37187,Epimedium plant named ‘Jester's Hat’,2025-09-09,2025,,,"Walters Gardens, Inc."
12507847,Blowing-suction machine and method for using blowing-suction machine for cleaning,2025-09-08,2025,Feibiao Zhang,CN,
12507847,Blowing-suction machine and method for using blowing-suction machine for cleaning,2025-09-08,2025,Gan Chen,CN,
12507847,Blowing-suction machine and method for using blowing-suction machine for cleaning,2025-09-08,2025,Tengzhuang Lin,CN,
12507847,Blowing-suction machine and method for using blowing-suction machine for cleaning,2025-09-08,2025,,,"Zhejiang Feihu New Energy Technology Co., Ltd."
D1107687,Sound attenuator,2025-09-08,2025,Natan Bauman,US,
D1107687,Sound attenuator,2025-09-08,2025,Ralph T. Campagna,US,
D1107687,Sound attenuator,2025-09-08,2025,Thomas Zachary Worcester,US,
D1107687,Sound attenuator,2025-09-08,2025,,,"Unplugs Hearing, Inc."
12472542,Manual high-pressure parts washer,2025-09-05,2025,Sang Bae Jeon,KR,
12472542,Manual high-pressure parts washer,2025-09-05,2025,Jae Keun Lee,KR,
12472542,Manual high-pressure parts washer,2025-09-05,2025,,,HI-TECH DIESEL CORP.
12472542,Manual high-pressure parts washer,2025-09-05,2025,,,
12480430,Hydraulic cleaning apparatus for particulate matter reduction device with rapid drying and differential pressure measurement capability,2025-09-05,2025,Jae Keun Lee,KR,
12480430,Hydraulic cleaning apparatus for particulate matter reduction device with rapid drying and differential pressure measurement capability,2025-09-05,2025,Sang Bae Jeon,KR,
